Nulo tabla 19/01/2026 14:44 MEF('030201', '30=', '', '2025', 'None') https://apps5.mineco.gob.pe/transparencia/Navegador/Navegar_7.aspx?_uhc=yes&0=&1=M&37=M&5=03&6=02&7=None&30=&y=2025&ap=&cpage=1&psize=400
Nulo tabla 19/01/2026 14:44 MEF('030201', '30=', 'Proyecto', '2025', 'None') https://apps5.mineco.gob.pe/transparencia/Navegador/Navegar_7.aspx?_uhc=yes&0=&1=M&37=M&5=03&6=02&7=None&30=&y=2025&ap=Proyecto&cpage=1&psize=400
Nulo tabla 19/01/2026 14:44 MEF('030201', '30=', 'Actividad', '2025', 'None') https://apps5.mineco.gob.pe/transparencia/Navegador/Navegar_7.aspx?_uhc=yes&0=&1=M&37=M&5=03&6=02&7=None&30=&y=2025&ap=Actividad&cpage=1&psize=400
Nulo tabla 19/01/2026 14:44 MEF('030201', '8=', '', '2025', 'None') https://apps5.mineco.gob.pe/transparencia/Navegador/Navegar_7.aspx?_uhc=yes&0=&1=M&37=M&5=03&6=02&7=None&8=&y=2025&ap=&cpage=1&psize=400
Nulo tabla 19/01/2026 14:44 MEF('030201', '8=', 'Proyecto', '2025', 'None') https://apps5.mineco.gob.pe/transparencia/Navegador/Navegar_7.aspx?_uhc=yes&0=&1=M&37=M&5=03&6=02&7=None&8=&y=2025&ap=Proyecto&cpage=1&psize=400
Nulo tabla 19/01/2026 14:44 MEF('030201', '8=', 'Actividad', '2025', 'None') https://apps5.mineco.gob.pe/transparencia/Navegador/Navegar_7.aspx?_uhc=yes&0=&1=M&37=M&5=03&6=02&7=None&8=&y=2025&ap=Actividad&cpage=1&psize=400
Nulo tabla 19/01/2026 14:44 MEF('030202', '30=', '', '2025', 'None') https://apps5.mineco.gob.pe/transparencia/Navegador/Navegar_7.aspx?_uhc=yes&0=&1=M&37=M&5=03&6=02&7=None&30=&y=2025&ap=&cpage=1&psize=400
Nulo tabla 19/01/2026 14:44 MEF('030202', '30=', 'Proyecto', '2025', 'None') https://apps5.mineco.gob.pe/transparencia/Navegador/Navegar_7.aspx?_uhc=yes&0=&1=M&37=M&5=03&6=02&7=None&30=&y=2025&ap=Proyecto&cpage=1&psize=400
Nulo tabla 19/01/2026 14:44 MEF('030202', '30=', 'Actividad', '2025', 'None') https://apps5.mineco.gob.pe/transparencia/Navegador/Navegar_7.aspx?_uhc=yes&0=&1=M&37=M&5=03&6=02&7=None&30=&y=2025&ap=Actividad&cpage=1&psize=400
Nulo tabla 19/01/2026 14:44 MEF('030202', '8=', 'Proyecto', '2025', 'None') https://apps5.mineco.gob.pe/transparencia/Navegador/Navegar_7.aspx?_uhc=yes&0=&1=M&37=M&5=03&6=02&7=None&8=&y=2025&ap=Proyecto&cpage=1&psize=400
Nulo tabla 19/01/2026 14:44 MEF('030202', '8=', 'Actividad', '2025', 'None') https://apps5.mineco.gob.pe/transparencia/Navegador/Navegar_7.aspx?_uhc=yes&0=&1=M&37=M&5=03&6=02&7=None&8=&y=2025&ap=Actividad&cpage=1&psize=400
